1;-;Pensión alimenticia 
1;-;Automóvil 
2;-;Pago de Automóvil 
2;-;Gasolina 
2;-;Mantenimiento 
1;-;Cargos del Banco 
2;-;Interés Pagado 
2;-;Servicio de carga 
1;-;Billetes 
2;-;Cable / Televisión por satélite 
2;-;Cell Phone 
2;-;Celular 
2;-;Electricidad 
2;-;Basura y Reciclaje 
2;-;Health Club 
2;-;Inicio-propietario de Cuotas 
2;-;Cuotas de Afiliación 
2;-;Hipoteca de Pago 
2;-;Gas Natural / Gas 
2;-;Periódico 
2;-;Servicio de On-line/Internet 
2;-;El pago del préstamo Otros 
2;-;Alquiler 
2;-;Pago de Préstamo Estudiantil 
2;-;Teléfono 
2;-;Agua y Alcantarillado 
1;-;Retiro de efectivo 
1;-;Donaciones caritativas 
1;-;Cuidado de niños 
1;-;Los niños / Juguetes 
2;-;Manutención de Niños 
2;-;Guardería 
1;-;Ropa 
1;-;Pagos con tarjeta de crédito / Transferencias 
1;-;Comer fuera 
1;-;Educación 
2;-;Libros 
2;-;Honorarios 
2;-;Matrícula 
1;-;Entretenimiento 
1;-;Tasas 
1;-;Comida 
1;-;Regalos 
1;-;Comestibles 
1;-;Atención de la salud 
2;-;Dental 
2;-;De atención oftálmica 
2;-;Hospital 
2;-;Médico 
2;-;Prescripciones 
1;-;Aficiones / Ocio 
2;-;Libros y Revistas 
2;-;Eventos culturales 
2;-;Entretenido 
2;-;Cine y Video de Alquiler 
2;-;Eventos Deportivos 
2;-;Artículos Deportivos 
2;-;Cintas y CDs 
2;-;Juguetes y juegos 
1;-;Mejoras para el hogar 
1;-;Casa 
2;-;Muebles 
2;-;Limpieza de Casas 
2;-;Patio de servicio 
1;-;Seguro 
2;-;Automóvil 
2;-;Salud 
2;-;Inicio-propietario / arrendatario 
2;-;La vida 
1;-;Empleo de gastos 
2;-;No Reembolso 
2;-;Reembolso 
1;-;Préstamo 
2;-;Préstamos de Interés 
2;-;Hipoteca de Interés 
2;-;Interés de préstamos estudiantiles 
1;-;Misceláneo 
1;-;Hipoteca / Alquiler 
1;-;Cuidado Personal 
1;-;Cuidado de Mascotas 
2;-;Alimentación 
2;-;Suministros 
2;-;Médico Veterinario 
1;-;Teléfono / Wireless 
1;-;Servicios / Asociaciones 
1;-;Impuestos 
2;-;Impuesto sobre la Renta Federal 
2;-;Año de impuestos sobre la renta federal anterior 
2;-;Impuesto sobre la Renta Local 
2;-;Impuesto sobre Medicare 
2;-;Otros Impuestos 
2;-;Impuestos sobre bienes raíces 
2;-;Impuesto a las Ventas 
2;-;Impuesto de la Seguridad Social 
2;-;Estado Impuesto a la Renta 
2;-;Estado / Provincia 
1;-;Agencia de viajes / vacaciones 
2;-;Alojamiento 
2;-;Viajes 
1;-;Utilidades 
1;+;Ingresos / Interés 
1;+;Ingresos por inversiones 
2;+;Ganancias de Capital 
2;+;Dividendos 
2;+;Interés 
2;+;Intereses exentos de impuestos 
1;+;No un gasto 
1;+;Otros Ingresos 
2;+;Mantenimiento de hijos recibido 
2;+;Empleado de Opciones sobre Acciones 
2;+;Recibidos 
2;+;Director del préstamo recibido 
2;+;Loterías 
2;+;Departamental y Local Devolución de impuestos 
2;+;Compensación por Desempleo 
1;+;Ingresos de Jubilación 
2;+;Distribución del IRA 
2;+;Las pensiones y anualidades 
2;+;Beneficios del Seguro Social 
1;+;Salarios y sueldos 
2;+;Bono 
2;+;Comisión 
2;+;El empleador concordantes 
2;+;Ingreso Bruto 
2;+;Salario neto 
2;+;Horas extraordinarias 

