1;-;Abonnement/factures
2;-;Assurance habitation
2;-;Charges
2;-;Chauffage
2;-;Eau
2;-;Électricité
2;-;Internet
2;-;Loyer
2;-;Ménage
2;-;Portable
2;-;Remb. crédit conso
2;-;Remb. prêt immobilier
2;-;Salarié à domicile
2;-;Service d'entretien
2;-;Téléphone
2;-;TV/Câble
1;-;Alimentation
2;-;Café/bar
2;-;Épicerie
2;-;Restaurant
1;-;Animaux domestiques
2;-;Alimentation
2;-;Fournitures diverses
2;-;Frais de garde
2;-;Vétérinaire
1;-;Auto/moto
2;-;Accessoires
2;-;Assurance Auto/moto
2;-;Carburant
2;-;Entretien/réparations
2;-;Parking/péage
2;-;Remb. de prêt
1;-;Divers
2;-;Cadeaux
2;-;Dons caritatifs
2;-;Responsabilité civile
2;-;Retrait d'espèces
1;-;Enfants
2;-;Activité sportive/culturelle
2;-;Assurance scolaire
2;-;Frais de cantine
2;-;Frais de garde
2;-;Frais de scolarité
2;-;Frais divers
2;-;Remb. prêt étudiant
1;-;Épargne
2;-;Assurancevie
2;-;Livrets/Divers
1;-;Équipement du logement
2;-;Ameublement
2;-;Bricolage / Outils
2;-;Électroménager
2;-;Jardinage
2;-;Ordinateur et accessoires
2;-;Remb. de crédit équipement
2;-;Télévision et accessoires
2;-;Travaux / Décoration
1;-;Frais bancaires
2;-;Agios
2;-;Carte de paiement/de crédit
2;-;Frais divers
2;-;Intérêts versés
2;-;Services / Abonnement
1;-;Frais professionnels
2;-;Non remboursés
2;-;Remboursés
1;-;Habillement
2;-;Accessoires
2;-;Chaussures
2;-;Vêtements
1;-;Impôts
2;-;Autres impôts
2;-;Cotisations Sécurité sociale
2;-;Impôts locaux
2;-;Impôts sur le revenu
2;-;Impôts sur le revenuAnnée préc.
1;-;Loisirs/culture/sport
2;-;Activité sportive
2;-;Articles de sport
2;-;Achat CD/DVD
2;-;Cinéma/spectacle
2;-;Jeux
2;-;Journaux
2;-;Livres
2;-;Location DVD
2;-;Manifestation sportives
2;-;Musées/expositions
1;-;Santé
2;-;Complémentaire santé
2;-;Dentiste
2;-;Hôpital
2;-;Kinésithérapeute
2;-;Médecin
2;-;Oculiste
2;-;Pharmacie
1;-;Soin de la personne
2;-;Coiffeur/esthéticienne
2;-;Thalasso/remise en forme
1;-;Transport
2;-;Avion
2;-;Métro/Bus/Train
2;-;Taxis
1;-;Vacances
2;-;Alimentation/restaurant
2;-;Assurance voyage
2;-;Divers
2;-;Excursion/visite
2;-;Location de voiture
2;-;Logement
2;-;Séjours
2;-;Voyage
1;+;Autres revenus
2;+;Accident du travail
2;+;Allocations de chômage
2;+;Allocations familiales
2;+;Capital de prêt reçu
2;+;Crédit d'impôts
2;+;Dons et cadeaux
2;+;Héritage
2;+;Jeux
2;+;Option d'achat d'actions
1;+;Placements
2;+;Dividendes
2;+;Intérêts
2;+;Plusvalues
2;+;Plusvalues immobilières
2;+;Revenus locatifs
1;+;Retraite
2;+;Pensions
2;+;Régime général
2;+;Retraite complémentaire
1;+;Traitements et salaires
2;+;Commissions
2;+;Contributions employeur
2;+;Heures supplémentaires
2;+;Primes diverses
2;+;Primes résultat
2;+;Salaire net
